"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Early to Mature (Down)","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","25/290","55/2564",0.454545454545455,4.01880877742947,8.08062011071168,1.07840820444275e-10,5.33812061199161e-09,3.74604955227481e-09,"YAL038W/YBR196C/YCR012W/YCR105W/YDL021W/YDR050C/YGL253W/YGR087C/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR134W/YLR153C/YLR446W/YMR170C/YMR303C/YMR323W/YOL056W/YOL086C/YOR347C",25
"Early to Mature (Down)","Metabolism","Global and overview maps","sce01200","Carbon metabolism","36/290","113/2564",0.31858407079646,2.81672261214525,7.0523565283918,1.52545769757357e-09,5.03401040199278e-08,3.53263887859142e-08,"YAL038W/YBR196C/YCL064C/YCR005C/YCR012W/YDL021W/YDR050C/YFL053W/YGL205W/YGL253W/YGR088W/YGR240C/YGR254W/YGR256W/YHL011C/YHR174W/YHR183W/YIR031C/YJL052W/YJR009C/YKL060C/YKL106W/YKL152C/YKL181W/YKR009C/YLR153C/YLR164W/YLR446W/YML070W/YMR323W/YOL056W/YOL061W/YOL126C/YOR347C/YOR388C/YPL028W",36
"Early to Mature (Down)","Metabolism","Global and overview maps","sce01212","Fatty acid metabolism","14/290","23/2564",0.608695652173913,5.38170914542729,7.5367342733171,1.32452855783714e-08,3.27820818064693e-07,2.30049696887504e-07,"YDL015C/YER061C/YGL055W/YGL205W/YHR067W/YIL009W/YJL196C/YKL055C/YKL182W/YMR207C/YMR246W/YNR016C/YPL028W/YPL231W",14
"Early to Mature (Down)","Metabolism","Lipid metabolism","sce00100","Steroid biosynthesis","12/290","18/2564",0.666666666666667,5.89425287356322,7.43997590832395,3.51184719181341e-08,6.95345743979056e-07,4.87961925599337e-07,"YCR048W/YGL001C/YGL012W/YGR060W/YGR175C/YHR007C/YHR072W/YLR056W/YLR100W/YMR015C/YMR202W/YNL280C",12
"Early to Mature (Down)","Metabolism","Lipid metabolism","sce00061","Fatty acid biosynthesis","9/290","13/2564",0.692307692307692,6.1209549071618,6.60914789557737,1.27772459130164e-06,2.10824557564771e-05,1.4794705794019e-05,"YER061C/YHR067W/YIL009W/YKL055C/YKL182W/YMR207C/YMR246W/YNR016C/YPL231W",9
"Early to Mature (Down)","Metabolism","Energy metabolism","sce00680","Methane metabolism","12/290","26/2564",0.461538461538462,4.08063660477454,5.63714762809232,7.8494691048892e-06,0.000111013920197719,7.79045054019078e-05,"YDL021W/YFL053W/YGR240C/YGR254W/YHR174W/YKL060C/YKL152C/YLR153C/YML070W/YMR323W/YOL056W/YOR388C",12
"Early to Mature (Down)","Metabolism","Carbohydrate metabolism","sce00620","Pyruvate metabolism","16/290","52/2564",0.307692307692308,2.72042440318302,4.47512860310957,0.000110390333375766,0.0013660803755251,0.000958652895105337,"YAL038W/YCR105W/YEL071W/YIR031C/YLR153C/YML054C/YMR170C/YMR207C/YMR303C/YNR016C/YOL086C/YOL126C/YOR347C/YOR391C/YPL028W/YPL280W",16
"Early to Mature (Down)","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","28/290","125/2564",0.224,1.98046896551724,4.01292487829853,0.000204887866084466,0.00225376652692913,0.00158159054521343,"YAL038W/YCL018W/YCL064C/YCR005C/YCR012W/YDL021W/YDR050C/YEL046C/YFR055W/YGL009C/YGR240C/YGR254W/YHL011C/YHR174W/YIL020C/YJL052W/YJR009C/YJR148W/YKL060C/YKL106W/YKL152C/YKL181W/YLL058W/YMR323W/YOL056W/YOL061W/YOR347C/YPR035W",28
"Early to Mature (Down)","Cellular Processes","Transport and catabolism","sce04138","Autophagy - yeast","22/290","90/2564",0.244444444444444,2.16122605363985,4.00420450749439,0.000273392939832413,0.00270659010434089,0.00189936147673045,"YAL002W/YBR080C/YBR097W/YCL038C/YCR068W/YFL033C/YFR021W/YGL212W/YHR186C/YHR205W/YJR066W/YKL048C/YKL062W/YKL203C/YLR240W/YLR396C/YMR037C/YMR231W/YNL101W/YNL242W/YOR003W/YPL203W",22
"Early to Mature (Down)","Metabolism","Carbohydrate metabolism","sce00051","Fructose and mannose metabolism","8/290","23/2564",0.347826086956522,3.07526236881559,3.56954341378414,0.00259391061188256,0.0229915462788137,0.0161344184412727,"YDR050C/YFL053W/YGL253W/YGR240C/YKL060C/YLR446W/YML070W/YOL136C",8
"Early to Mature (Down)","Metabolism","Lipid metabolism","sce01040","Biosynthesis of unsaturated fatty acids","5/290","10/2564",0.5,4.42068965517241,3.86973566086274,0.00278685409440166,0.0229915462788137,0.0161344184412727,"YDL015C/YGL055W/YGL205W/YJL196C/YJR019C",5
"Early to Mature (Down)","Cellular Processes","Transport and catabolism","sce04146","Peroxisome","11/290","41/2564",0.268292682926829,2.37207737594617,3.16220468900999,0.00446903741092504,0.0305863470549729,0.0214641031964722,"YEL020C/YGL205W/YGR088W/YIL009W/YKL197C/YMR208W/YMR246W/YNL202W/YNL329C/YOL147C/YPR128C",11
"Early to Mature (Down)","Metabolism","Lipid metabolism","sce00071","Fatty acid degradation","7/290","20/2564",0.35,3.09448275862069,3.35746354540273,0.00463429500832923,0.0305863470549729,0.0214641031964722,"YGL205W/YIL009W/YMR170C/YMR246W/YMR303C/YOL086C/YPL028W",7
"Early to Mature (Down)","Metabolism","Metabolism of terpenoids and polyketides","sce00900","Terpenoid backbone biosynthesis","7/290","20/2564",0.35,3.09448275862069,3.35746354540273,0.00463429500832923,0.0305863470549729,0.0214641031964722,"YDL090C/YKL019W/YLR450W/YML075C/YMR208W/YNR043W/YPL028W",7
"Early to Mature (Down)","Metabolism","Energy metabolism","sce00710","Carbon fixation by Calvin cycle","7/290","21/2564",0.333333333333333,2.94712643678161,3.19895913707855,0.00629205876544362,0.0389321136111824,0.0273207814815315,"YCR012W/YDR050C/YJL052W/YJR009C/YKL060C/YKL106W/YOL126C",7
"Early to Mature (Down)","Organismal Systems","Aging","sce04213","Longevity regulating pathway - multiple species","10/290","38/2564",0.263157894736842,2.32667876588022,2.94183950163416,0.00767918648965652,0.0447199683809409,0.0313824339515375,"YFL033C/YGR088W/YHR186C/YHR205W/YJR066W/YKL062W/YKL203C/YMR037C/YNL209W/YPL203W",10
