"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Early to Thin (Up)","GO:0006119","oxidative phosphorylation","10/484","41/6447",0.24390243902439,3.24884095948398,4.11521595467967,0.000694462630847763,0.0171078198099228,0.0151825838322993,"851492/852142/853507/853585/850727/851111/855298/855675/855857/856321",10
"Early to Thin (Up)","GO:0170034","L-amino acid biosynthetic process","18/484","105/6447",0.171428571428571,2.28347107438017,3.77748756036248,0.000723076678554178,0.0174766268910925,0.0155098870474382,"851956/856778/856782/853025/856539/854736/854834/853230/853869/850664/851010/851158/855691/855444/854096/854303/854557/856296",18
"Early to Thin (Up)","GO:0070972","protein localization to endoplasmic reticulum","12/484","58/6447",0.206896551724138,2.75591336563123,3.82680263256982,0.00102793254455685,0.0215120170479618,0.0190911528097282,"851226/851264/852240/851458/856840/852675/853418/853789/851095/854949/855056/9164887",12
"Early to Thin (Up)","GO:0012501","programmed cell death","10/484","43/6447",0.232558139534884,3.09773207764751,3.93182348316113,0.00103664403068301,0.0215120170479618,0.0190911528097282,"852250/852341/851561/851596/856584/853222/854897/855176/854372/855932",10
"Early to Thin (Up)","GO:0046390","ribose phosphate biosynthetic process","13/484","66/6447",0.196969696969697,2.62368519909842,3.77715540923322,0.00104533101003183,0.0215120170479618,0.0190911528097282,"851560/851812/851922/852617/853585/853853/851002/854986/854893/854077/854295/855857/856131",13
"Early to Thin (Up)","GO:0044283","small molecule biosynthetic process","42/484","349/6447",0.120343839541547,1.603009780009,3.29973289354163,0.00134178814900069,0.026856728419842,0.023834394751986,"851221/852378/852559/850400/851386/851956/851987/852098/852123/856638/856778/856782/850485/852818/852729/853025/853203/856539/854736/854834/853230/853869/853972/850664/850747/851010/851087/851092/851158/854986/854980/854887/855691/855444/854096/854262/854303/854557/856044/855900/855824/856296",42
"Early to Thin (Up)","GO:0097237","cellular response to toxic substance","9/484","38/6447",0.236842105263158,3.15479556328839,3.79523053837598,0.00160104889308469,0.0310749035157801,0.0275778756703583,"851280/851386/856399/856452/853565/853792/853951/851079/854980",9
"Early to Thin (Up)","GO:0009636","response to toxic substance","11/484","56/6447",0.196428571428571,2.61647727272727,3.46110388140399,0.0025588618066633,0.0470594797378231,0.0417636206227445,"851280/851386/853149/856399/856452/853565/853792/853951/851079/854980/854324",11
"Early to Thin (Up)","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","5/484","14/6447",0.357142857142857,4.75723140495868,4.00922668784349,0.00264502930610715,0.0470594797378231,0.0417636206227445,"851492/853507/851111/855298/855675",5
"Early to Thin (Up)","GO:0045039","protein insertion into mitochondrial inner membrane","5/484","14/6447",0.357142857142857,4.75723140495868,4.00922668784349,0.00264502930610715,0.0470594797378231,0.0417636206227445,"852388/856693/853093/856395/853600",5
"Early to Thin (Up)","GO:0006457","protein folding","20/484","137/6447",0.145985401459854,1.94456174217289,3.18354785058968,0.0028979151012438,0.0492109581703456,0.043672981489768,"852364/850314/851458/851967/856840/850602/853043/853125/853418/853503/853789/850914/850963/854980/854897/855224/855569/854185/854462/855998",20
"Early to Thin (Down)","GO:0046496","nicotinamide nucleotide metabolic process","30/438","86/6447",0.348837209302326,5.13459700541574,10.4207941593609,1.29550715200699e-14,1.18453529450341e-11,1.03011559634101e-11,"851193/852414/852495/850370/851541/851539/851474/851620/852934/853155/853163/853172/856579/856609/853395/853465/853805/853705/850933/851167/855363/855373/855594/855521/854095/854068/853984/854525/854575/856030",30
